id|Regione|Provincia|Comune|Indirizzo|Cap|Banca|ABI|CAB
0|Sicilia|Agrigento|Agrigento|Piazza Rosselli, 1/2/3|92100|Banca Carige S.P.A. - Cassa di Risparmio Di Genova e Imperia(in Forma Abbreviata Carige S.P.A.)|6175|16600
1|Sicilia|Agrigento|Agrigento|Via Ugo la Malfa, 38|92100|Banca Carige S.P.A. - Cassa di Risparmio Di Genova e Imperia(in Forma Abbreviata Carige S.P.A.)|6175|16606
2|Sicilia|Agrigento|Agrigento|Via Barone F. Celsa, 6|92100|Banca di Credito Cooperativo Agrigentino - Societa' Cooperativa|7108|16601
3|Sicilia|Agrigento|Agrigento|Viale Leonardo Sciascia, 158|92100|Banca di Credito Cooperativo Agrigentino - Societa' Cooperativa|7108|16600
4|Sicilia|Agrigento|Agrigento|Via Atenea, 2|92100|Banca Monte dei Paschi di Siena S.P.A.|1030|16600
5|Sicilia|Agrigento|Agrigento|Via Leonardo Sciascia|92100|Banca Monte dei Paschi di Siena S.P.A.|1030|16601
6|Sicilia|Agrigento|Agrigento|Via Imera, 203|92100|Banca Nazionale del Lavoro S.P.A. (in Forma Contratta Bnl S.P.A.)|1005|16600
7|Sicilia|Agrigento|Agrigento|Piazzale Rosselli|92100|Banca Nuova Spa|5132|16601
8|Sicilia|Agrigento|Agrigento|Quadrivio Spinasanta, 7|92100|Banca Popolare Sant'Angelo, Societa' Cooperativa Per Azioni|5772|16602
9|Sicilia|Agrigento|Agrigento|Via San Vito, 3|92100|Banca Popolare Sant'Angelo, Societa' Cooperativa Per Azioni|5772|16601
10|Sicilia|Agrigento|Agrigento|Via Dante Alighieri, 79|92100|Banca Prossima S.P.A. (in Forma Abbreviata Prossima S.P.A.)|3359|16602
11|Sicilia|Agrigento|Agrigento|Via Ugo la Malfa, 46/M|92100|Banca San Francesco Credito Cooperativo - Societa' Cooperativa|8969|16600
12|Sicilia|Agrigento|Agrigento|Viale Viareggio, 45|92100|Banca Sella - S.P.A.|3268|16600
13|Sicilia|Agrigento|Agrigento|Via Leonardo Sciascia, 228|92100|Bper Banca S.P.A.|5387|16600
14|Sicilia|Agrigento|Agrigento|Via Ugo la Malfa, 46/I|92100|Compass Banca Spa|19275|0
15|Sicilia|Agrigento|Agrigento|Via Imera, 28/C|92100|Credito Emiliano S.P.A.|3032|16600
16|Sicilia|Agrigento|Agrigento|Viale Leonardo Sciascia, 210|92100|Credito Emiliano S.P.A.|3032|16601
17|Sicilia|Agrigento|Agrigento|Via Imera, 19|92100|Credito Siciliano S.P.A.|3019|16600
18|Sicilia|Agrigento|Agrigento|Via Leonardo Sciascia, 39|92100|Credito Siciliano S.P.A.|3019|16601
19|Sicilia|Agrigento|Agrigento|Via Crispi, 138|92100|Findomestic Banca Spa|3115|16600
20|Sicilia|Agrigento|Agrigento|Piazza Vittorio Emanuele, 19|92100|Intesa Sanpaolo S.P.A.|3069|16600
21|Sicilia|Agrigento|Agrigento|Piazzale Aldo Moro, 1|92100|Unicredit, Societa' per Azioni|2008|16600
22|Sicilia|Agrigento|Agrigento|Tesoreria Enti Cassa Regionale - Piazzale Aldo Moro, 1|92100|Unicredit, Societa' per Azioni|2008|16608
23|Sicilia|Agrigento|Agrigento|Via Atenea, 119|92100|Unicredit, Societa' per Azioni|2008|16601
24|Sicilia|Agrigento|Agrigento|Via Imera, 211/213/215|92100|Unicredit, Societa' per Azioni|2008|16605
25|Sicilia|Agrigento|Agrigento|Via Leonardo Sciascia (Ex S.S. 115), 130/136|92100|Unicredit, Societa' per Azioni|2008|16607
26|Sicilia|Agrigento|Agrigento|Viale della Vittoria, 239|92100|Unicredit, Societa' per Azioni|2008|16611
27|Sicilia|Agrigento|Alessandria della Rocca|Via Roma, 135/137|92010|Unicredit, Società per Azioni|2008|82790
28|Sicilia|Agrigento|Aragona|Piazzetta della Vittoria, 2|92021|Banca Monte dei Paschi di Siena S.P.A.|1030|82800
29|Sicilia|Agrigento|Aragona|Via Roma, 62-64-66|92021|Banca San Francesco Credito Cooperativo - Societa' Cooperativa|8969|82800
30|Sicilia|Agrigento|Aragona|Via Roma, 63|92021|Unicredit, Societa' per Azioni|2008|82800
31|Sicilia|Agrigento|Bivona|Via Roma, 21|92010|Unicredit, Societa' per Azioni|2008|82810
32|Sicilia|Agrigento|Burgio|Via Nazionale, 1|92010|Banca San Francesco Credito Cooperativo - Societa' Cooperativa|8969|82820
33|Sicilia|Agrigento|Burgio|Piazza Umberto I, 1|92010|Unicredit, Societa' per Azioni|2008|82820
34|Sicilia|Agrigento|Caltabellotta|Via Colonnello Vita, 8/10|92010|Unicredit, Societa' per Azioni|2008|82840
35|Sicilia|Agrigento|Camastra|Corso Vittorio Veneto, 45|92020|Banca Sella - S.p.A.|3268|82850
36|Sicilia|Agrigento|Cammarata|Largo dei Pini, 4|92022|Banca di Credito Cooperativo Di San Biagio Platani, Societa'Cooperativa|8800|82860
37|Sicilia|Agrigento|Campobello di Licata|Via Roma, 7|92023|Banca Monte dei Paschi di Siena S.P.A.|1030|82870
38|Sicilia|Agrigento|Campobello di Licata|Via Vittorio Emanuele, 60/64|92023|Banca San Francesco Credito Cooperativo - Societa' Cooperativa|8969|82870
39|Sicilia|Agrigento|Campobello di Licata|Via Umberto, 107|92023|Banco Popolare - Societa' Cooperativa|5034|82870
40|Sicilia|Agrigento|Campobello di Licata|Via Umberto, 129|92023|Unicredit, Societa' per Azioni|2008|82870
41|Sicilia|Agrigento|Canicattì|Piazza IV Novembre, 14|92024|Banca Monte dei Paschi di Siena S.P.A.|1030|82880
42|Sicilia|Agrigento|Canicattì|Via Vittorio Veneto, 12/14|92024|Banca Monte dei Paschi di Siena S.P.A.|1030|82881
43|Sicilia|Agrigento|Canicattì|Via Regina Elena, 13/15|92024|Banca Nuova Spa|5132|82880
44|Sicilia|Agrigento|Canicattì|Viale della Vittoria, 53|92024|Banca Popolare Sant'Angelo, Societa' Cooperativa Per Azioni|5772|82880
45|Sicilia|Agrigento|Canicattì|Piazza Roma, 9 Ang. Via Colombo|92024|Banca San Francesco Credito Cooperativo - Societa' Cooperativa|8969|82881
46|Sicilia|Agrigento|Canicattì|Viale Regina Margherita, 63|92024|Banca San Francesco Credito Cooperativo - Societa' Cooperativa|8969|82880
47|Sicilia|Agrigento|Canicattì|Viale Regina Margherita, 131|92024|Banco Popolare - Societa' Cooperativa|5034|82880
48|Sicilia|Agrigento|Canicattì|Via Antonino Saetta, 2|92024|Bper Banca S.P.A.|5387|82880
49|Sicilia|Agrigento|Canicattì|Viale Giudice Saetta|92024|Credito Emiliano S.P.A.|3032|82880
50|Sicilia|Agrigento|Canicattì|Via Vittorio Veneto, 2|92024|Credito Siciliano S.P.A.|3019|82880
51|Sicilia|Agrigento|Canicattì|Via Regina Margherita, 2|92024|Intesa Sanpaolo S.P.A.|3069|82882
52|Sicilia|Agrigento|Canicattì|Via C. Battisti, 16|92024|Unicredit, Societa' per Azioni|2008|82882
53|Sicilia|Agrigento|Casteltermini|Piazza Sanfilippo, 4|92025|Banca di Credito Cooperativo Di San Biagio Platani, Societa'Cooperativa|8800|82890
54|Sicilia|Agrigento|Casteltermini|Corso Umberto i, 11/13|92025|Unicredit, Societa' per Azioni|2008|82891
55|Sicilia|Agrigento|Castrofilippo|Via Trieste, 4|92020|Banca San Francesco Credito Cooperativo - Societa' Cooperativa|8969|82900
56|Sicilia|Agrigento|Cattolica Eraclea|Via Rosario, 95|92011|Intesa Sanpaolo S.P.A.|3069|82910
57|Sicilia|Agrigento|Cattolica Eraclea|Via Monsignor Amato, 2|92011|Unicredit, Societa' per Azioni|2008|82910
58|Sicilia|Agrigento|Cianciana|Corso Vittorio Emanuele, 28|92012|Banca Popolare Sant'Angelo, Societa' Cooperativa Per Azioni|5772|82920
59|Sicilia|Agrigento|Cianciana|Via Regina Elena, 84|92012|Unicredit, Societa' per Azioni|2008|82920
60|Sicilia|Agrigento|Favara|Via Vittorio Emanuele, 21|92026|Banca Monte dei Paschi di Siena S.P.A.|1030|82930
61|Sicilia|Agrigento|Favara|Via Kennedy, 33/35|92026|Banca Nuova Spa|5132|82930
62|Sicilia|Agrigento|Favara|Via Roma, 135/139|92026|Banca Popolare Sant'Angelo, Societa' Cooperativa Per Azioni|5772|82930
63|Sicilia|Agrigento|Favara|Via Kennedy, 25|92026|Banca San Francesco Credito Cooperativo - Societa' Cooperativa|8969|82930
64|Sicilia|Agrigento|Favara|Via Kennedy, 30|92026|Intesa Sanpaolo S.P.A.|3069|82930
65|Sicilia|Agrigento|Favara|Piazza Vespri, 4|92026|Unicredit, Societa' per Azioni|2008|82930
66|Sicilia|Agrigento|Favara|Via Francesco Crispi, 88|92026|Unicredit, Societa' per Azioni|2008|82931
67|Sicilia|Agrigento|Grotte|Viale della Vittoria, 8-10|92020|Banca di Credito Cooperativo Agrigentino - Societa' Cooperativa|7108|82940
68|Sicilia|Agrigento|Grotte|Corso Garibaldi, 35|92020|Banca Monte dei Paschi di Siena S.P.A.|1030|82940
69|Sicilia|Agrigento|Grotte|Viale della Vittoria, 31|92020|Banca San Francesco Credito Cooperativo - Societa' Cooperativa|8969|82940
70|Sicilia|Agrigento|Grotte|Piazza Marconi, 7|92020|Unicredit, Societa' per Azioni|2008|82940
71|Sicilia|Agrigento|Lampedusa e Linosa|Via Roma, 60|92010|Banca Popolare Sant'Angelo, Societa' Cooperativa Per Azioni|5772|82960
72|Sicilia|Agrigento|Lampedusa e Linosa|Via Pirandello Angolo Via Gramsci|92010|Unicredit, Societa' per Azioni|2008|82960
73|Sicilia|Agrigento|Licata|Piazza Linares, 1|92027|Banca Monte dei Paschi di Siena S.P.A.|1030|82970
74|Sicilia|Agrigento|Licata|Corso Umberto i, 42|92027|Banca Nuova Spa|5132|82970
75|Sicilia|Agrigento|Licata|Corso Vittorio Emanuele, 4/6/8|92027|Banca Popolare Sant'Angelo, Societa' Cooperativa Per Azioni|5772|82970
76|Sicilia|Agrigento|Licata|Via Palma, 21|92027|Banca Popolare Sant'Angelo, Societa' Cooperativa Per Azioni|5772|82971
77|Sicilia|Agrigento|Licata|Via Rettifilo Garibaldi, 82|92027|Banca Popolare Sant'Angelo, Societa' Cooperativa Per Azioni|5772|82972
78|Sicilia|Agrigento|Licata|Via Nazario Sauro 12B|92027|Banca San Francesco Credito Cooperativo - Societa' Cooperativa|8969|82970
79|Sicilia|Agrigento|Licata|Rettifilo Garibaldi, 76|92027|Banca Sella - S.P.A.|3268|82970
80|Sicilia|Agrigento|Licata|Corso Serrovira, 93/C|92027|Credito Emiliano S.P.A.|3032|82970
81|Sicilia|Agrigento|Licata|Corso Umberto, 102|92027|Unicredit, Societa' per Azioni|2008|82971
82|Sicilia|Agrigento|Lucca Sicula|Via lo Cascio, 14|92010|Bper Banca S.P.A.|5387|82980
83|Sicilia|Agrigento|Menfi|Viale della Vittoria, 236|92013|Banca di Credito Cooperativo Di Sambuca Di Sicilia - Societa' Cooperativa|8796|82990
84|Sicilia|Agrigento|Menfi|Viale Michelangelo, 73|92013|Credito Emiliano S.P.A.|3032|82990
85|Sicilia|Agrigento|Menfi|Via della Vittoria, 254|92013|Intesa Sanpaolo S.P.A.|3069|82991
86|Sicilia|Agrigento|Menfi|Via della Vittoria, 265|92013|Unicredit, Societa' per Azioni|2008|82990
87|Sicilia|Agrigento|Montevago|Corso Magellano, 59|92010|Banca Don Rizzo - Credito Cooperativo della Sicilia Occidentale - Societa' Cooperativa|8946|83010
88|Sicilia|Agrigento|Naro|Piazza Garibaldi, 3|92028|Banca Monte dei Paschi di Siena S.P.A.|1030|83020
89|Sicilia|Agrigento|Naro|Via Specchi, 35|92028|Banca Sella - S.P.A.|3268|83020
90|Sicilia|Agrigento|Naro|Largo Milazzo, 17|92028|Unicredit, Societa' per Azioni|2008|83020
91|Sicilia|Agrigento|Palma di Montechiaro|Via Italia, 1|92020|Banca Carige S.P.A. - Cassa di Risparmio Di Genova e Imperia(in Forma Abbreviata Carige S.P.A.)|6175|83032
92|Sicilia|Agrigento|Palma di Montechiaro|Via Marconi Ang. Via Roma|92020|Banca Popolare Sant'Angelo, Societa' Cooperativa Per Azioni|5772|83030
93|Sicilia|Agrigento|Palma di Montechiaro|Corso Odierna, 449/451|92020|Banca San Francesco Credito Cooperativo - Societa' Cooperativa|8969|83030
94|Sicilia|Agrigento|Palma di Montechiaro|Via Amendola, 202|92020|Bper Banca S.P.A.|5387|83030
95|Sicilia|Agrigento|Palma di Montechiaro|Corso Odierna, 359|92020|Unicredit, Societa' per Azioni|2008|83030
96|Sicilia|Agrigento|Porto Empedocle|Via Roma, 2/4|92014|Banca Monte dei Paschi di Siena S.P.A.|1030|83040
97|Sicilia|Agrigento|Porto Empedocle|Via Roma, 58/60|92014|Banca Popolare Sant'Angelo, Societa' Cooperativa Per Azioni|5772|83040
98|Sicilia|Agrigento|Porto Empedocle|Variante Nord Strada Statale, 115|92014|Credito Emiliano S.P.A.|3032|83041
99|Sicilia|Agrigento|Porto Empedocle|Via Roma, 26/28|92014|Unicredit, Societa' per Azioni|2008|83041
100|Sicilia|Agrigento|Racalmuto|Via Garibaldi, 180|92020|Unicredit, Societa' per Azioni|2008|83050
101|Sicilia|Agrigento|Raffadali|Via Porta Agrigento, 102|92015|Banca di Credito Cooperativo Di San Biagio Platani, Societa'Cooperativa|8800|83060
102|Sicilia|Agrigento|Raffadali|Via Porta Agrigento, 128/130|92015|Banca Popolare Sant'Angelo, Societa' Cooperativa Per Azioni|5772|83060
103|Sicilia|Agrigento|Raffadali|Piazza Progresso, 34|92015|Intesa Sanpaolo S.P.A.|3069|83060
104|Sicilia|Agrigento|Raffadali|Via Nazionale, 127|92015|Unicredit, Societa' per Azioni|2008|83061
105|Sicilia|Agrigento|Ravanusa|Corso della Repubblica, 202|92029|Banca del Nisseno Credito Cooperativo Di Sommatino e Serradifalco Societa' Cooperativa|8985|83070
106|Sicilia|Agrigento|Ravanusa|Corso della Repubblica, 135|92029|Banca Monte dei Paschi di Siena S.P.A.|1030|83070
107|Sicilia|Agrigento|Ravanusa|Corso della Repubblica, 133|92029|Unicredit, Societa' per Azioni|2008|83070
108|Sicilia|Agrigento|Realmonte|Via Piazza Vecchia, 27|92010|Intesa Sanpaolo S.P.A.|3069|83080
109|Sicilia|Agrigento|Ribera|Corso Umberto i, 145|92016|Banca Monte dei Paschi di Siena S.P.A.|1030|83090
110|Sicilia|Agrigento|Ribera|Corso Umberto i, 31|92016|Banca Popolare Sant'Angelo, Societa' Cooperativa Per Azioni|5772|83090
111|Sicilia|Agrigento|Ribera|Corso Umberto i, 1|92016|Banca San Francesco Credito Cooperativo - Societa' Cooperativa|8969|83090
